name,p0010001_2020,p0010002_2020,p0010003_2020,p0010004_2020,p0010005_2020,p0010006_2020,p0010007_2020,p0010008_2020,p0010009_2020,p0010010_2020,p0010011_2020,p0010012_2020,p0010013_2020,p0010014_2020,p0010015_2020,p0010016_2020,p0010017_2020,p0010018_2020,p0010019_2020,p0010020_2020,p0010021_2020,p0010022_2020,p0010023_2020,p0010024_2020,p0010025_2020,p0010026_2020,p0010027_2020,p0010028_2020,p0010029_2020,p0010030_2020,p0010031_2020,p0010032_2020,p0010033_2020,p0010034_2020,p0010035_2020,p0010036_2020,p0010037_2020,p0010038_2020,p0010039_2020,p0010040_2020,p0010041_2020,p0010042_2020,p0010043_2020,p0010044_2020,p0010045_2020,p0010046_2020,p0010047_2020,p0010048_2020,p0010049_2020,p0010050_2020,p0010051_2020,p0010052_2020,p0010053_2020,p0010054_2020,p0010055_2020,p0010056_2020,p0010057_2020,p0010058_2020,p0010059_2020,p0010060_2020,p0010061_2020,p0010062_2020,p0010063_2020,p0010064_2020,p0010065_2020,p0010066_2020,p0010067_2020,p0010068_2020,p0010069_2020,p0010070_2020,p0010071_2020,p0010001_2010,p0010002_2010,p0010003_2010,p0010004_2010,p0010005_2010,p0010006_2010,p0010007_2010,p0010008_2010,p0010009_2010,p0010010_2010,p0010011_2010,p0010012_2010,p0010013_2010,p0010014_2010,p0010015_2010,p0010016_2010,p0010017_2010,p0010018_2010,p0010019_2010,p0010020_2010,p0010021_2010,p0010022_2010,p0010023_2010,p0010024_2010,p0010025_2010,p0010026_2010,p0010027_2010,p0010028_2010,p0010029_2010,p0010030_2010,p0010031_2010,p0010032_2010,p0010033_2010,p0010034_2010,p0010035_2010,p0010036_2010,p0010037_2010,p0010038_2010,p0010039_2010,p0010040_2010,p0010041_2010,p0010042_2010,p0010043_2010,p0010044_2010,p0010045_2010,p0010046_2010,p0010047_2010,p0010048_2010,p0010049_2010,p0010050_2010,p0010051_2010,p0010052_2010,p0010053_2010,p0010054_2010,p0010055_2010,p0010056_2010,p0010057_2010,p0010058_2010,p0010059_2010,p0010060_2010,p0010061_2010,p0010062_2010,p0010063_2010,p0010064_2010,p0010065_2010,p0010066_2010,p0010067_2010,p0010068_2010,p0010069_2010,p0010070_2010,p0010071_2010,p0010001_change,p0010002_change,p0010003_change,p0010004_change,p0010005_change,p0010006_change,p0010007_change,p0010008_change,p0010009_change,p0010010_change,p0010011_change,p0010012_change,p0010013_change,p0010014_change,p0010015_change,p0010016_change,p0010017_change,p0010018_change,p0010019_change,p0010020_change,p0010021_change,p0010022_change,p0010023_change,p0010024_change,p0010025_change,p0010026_change,p0010027_change,p0010028_change,p0010029_change,p0010030_change,p0010031_change,p0010032_change,p0010033_change,p0010034_change,p0010035_change,p0010036_change,p0010037_change,p0010038_change,p0010039_change,p0010040_change,p0010041_change,p0010042_change,p0010043_change,p0010044_change,p0010045_change,p0010046_change,p0010047_change,p0010048_change,p0010049_change,p0010050_change,p0010051_change,p0010052_change,p0010053_change,p0010054_change,p0010055_change,p0010056_change,p0010057_change,p0010058_change,p0010059_change,p0010060_change,p0010061_change,p0010062_change,p0010063_change,p0010064_change,p0010065_change,p0010066_change,p0010067_change,p0010068_change,p0010069_change,p0010070_change,p0010071_change
Inman Park,5010,4619,3921,387,9,226,3,73,391,366,42,38,92,0,176,2,0,0,11,2,0,2,0,1,0,21,6,1,0,3,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4220.0,4095.0,3489.0,418.0,6.0,126.0,1.0,55.0,125.0,114.0,24.0,16.0,42.0,0.0,11.0,3.0,5.0,0.0,6.0,0.0,0.0,2.0,0.0,5.0,0.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1872037914691943,0.12796092796092795,0.12381771281169389,-0.07416267942583732,0.5,0.7936507936507936,2.0,0.32727272727272727,2.128,2.210526315789474,0.75,1.375,1.1904761904761905,,15.0,-0.3333333333333333,-1.0,,0.8333333333333334,,,0.0,,-0.8,,1.1,-0.14285714285714285,-0.6666666666666666,,,,,,,,,,,,,,,,,,,2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,
Candler Park,3689,3354,2979,167,5,149,0,54,335,313,35,31,57,5,166,1,7,1,5,0,0,1,1,3,0,19,0,5,0,1,0,0,5,2,5,0,1,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3403.0,3312.0,2950.0,220.0,6.0,102.0,1.0,33.0,91.0,84.0,20.0,14.0,36.0,1.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08404349103732,0.012681159420289856,0.00983050847457627,-0.2409090909090909,-0.16666666666666666,0.46078431372549017,-1.0,0.6363636363636364,2.681318681318681,2.7261904761904763,0.75,1.2142857142857142,0.5833333333333334,4.0,32.2,,0.4,,0.6666666666666666,,,,,,,2.1666666666666665,-1.0,1.5,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
Edgewood,5301,4988,2400,2333,11,166,3,75,313,291,62,17,56,0,120,13,10,0,11,0,0,0,0,1,1,22,2,1,0,10,0,0,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4072.0,3975.0,1359.0,2504.0,10.0,71.0,1.0,30.0,97.0,91.0,24.0,17.0,15.0,0.0,8.0,19.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3018172888015717,0.25484276729559746,0.7660044150110376,-0.06829073482428115,0.1,1.3380281690140845,2.0,1.5,2.2268041237113403,2.197802197802198,1.5833333333333333,0.0,2.7333333333333334,,14.0,-0.3157894736842105,0.6666666666666666,-1.0,,,,,,0.0,,2.6666666666666665,-0.5,0.0,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custer/McDonough/Guice,795,739,249,411,3,6,1,69,56,50,8,4,9,0,15,1,4,0,8,0,0,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062.0,1040.0,165.0,724.0,4.0,1.0,1.0,145.0,22.0,21.0,3.0,0.0,2.0,0.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2514124293785311,-0.28942307692307695,0.509090909090909,-0.43232044198895025,-0.25,5.0,0.0,-0.5241379310344828,1.5454545454545454,1.380952380952381,1.6666666666666667,,3.5,,0.36363636363636365,0.0,,,1.6666666666666667,,,,,-1.0,,5.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomasville Heights,2091,2050,56,1928,21,7,0,38,41,35,10,5,0,0,2,9,1,0,4,0,0,4,0,0,0,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2699.0,2681.0,15.0,2646.0,11.0,4.0,1.0,4.0,18.0,18.0,6.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22526861800666914,-0.23535994032077584,2.7333333333333334,-0.2713529856386999,0.9090909090909091,0.75,-1.0,8.5,1.2777777777777777,0.9444444444444444,0.6666666666666666,,,,,-0.1,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwood Manor,1153,1117,18,1068,3,7,0,21,36,34,10,4,0,0,5,4,0,0,3,0,0,7,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872.0,865.0,6.0,852.0,2.0,0.0,0.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32224770642201833,0.29132947976878615,2.0,0.2535211267605634,0.5,,,3.2,4.142857142857143,3.857142857142857,,,,,,0.3333333333333333,-1.0,,2.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South River Gardens,2451,2380,51,2264,5,3,0,57,71,60,6,3,2,0,3,21,1,9,15,0,0,0,0,0,0,8,0,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2255.0,2229.0,41.0,2152.0,4.0,2.0,0.0,30.0,26.0,22.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08691796008869179,0.0677433826828174,0.24390243902439024,0.05204460966542751,0.25,0.5,,0.9,1.7307692307692308,1.7272727272727273,0.0,,1.0,,,20.0,,,0.25,-1.0,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair Villa/Poole Creek,430,412,13,380,0,0,0,19,18,16,10,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380.0,371.0,5.0,360.0,0.0,0.0,0.0,6.0,9.0,8.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.1105121293800539,1.6,0.05555555555555555,,,,2.1666666666666665,1.0,1.0,9.0,,,,-1.0,1.0,,,3.0,,,,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosedale Heights,1222,1193,21,1156,0,0,0,16,29,26,13,0,0,0,2,11,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908.0,885.0,17.0,857.0,5.0,0.0,0.0,6.0,23.0,21.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3458149779735683,0.3480225988700565,0.23529411764705882,0.34889148191365227,-1.0,,,1.6666666666666667,0.2608695652173913,0.23809523809523808,1.1666666666666667,,,,,0.2222222222222222,-1.0,,-1.0,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakewood,1417,1358,75,1225,9,4,1,44,59,45,21,1,1,0,11,3,0,0,8,0,0,0,0,0,0,10,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199.0,1192.0,69.0,1088.0,4.0,0.0,0.0,31.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.13926174496644295,0.08695652173913043,0.12591911764705882,1.25,,,0.41935483870967744,7.428571428571429,10.25,20.0,,,,,0.5,,,7.0,,,,,,,2.3333333333333335,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridgedale Park,2211,2096,1767,156,5,99,0,69,115,108,18,13,5,0,59,0,3,0,7,2,0,0,0,0,1,4,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1554.0,1529.0,1310.0,134.0,2.0,45.0,0.0,38.0,25.0,22.0,6.0,3.0,7.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42277992277992277,0.3708306082406802,0.34885496183206105,0.16417910447761194,1.5,1.2,,0.8157894736842105,3.6,3.909090909090909,2.0,3.3333333333333335,-0.2857142857142857,,58.0,-1.0,0.0,,6.0,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Lindbergh/Morosgo,7276,6713,2630,2446,19,1381,3,234,563,492,84,34,74,0,200,20,17,0,54,0,1,4,2,2,0,63,23,7,0,10,6,0,2,4,1,0,0,2,5,0,3,0,0,0,0,0,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4604.0,4446.0,2065.0,1203.0,41.0,440.0,3.0,694.0,158.0,142.0,25.0,6.0,19.0,1.0,55.0,10.0,5.0,0.0,8.0,2.0,0.0,0.0,3.0,8.0,0.0,13.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580364900086881,0.5098965362123257,0.2736077481840194,1.0332502078137988,-0.5365853658536586,2.1386363636363637,0.0,-0.6628242074927954,2.5632911392405062,2.464788732394366,2.36,4.666666666666667,2.8947368421052633,-1.0,2.6363636363636362,1.0,2.4,,5.75,-1.0,,,-0.3333333333333333,-0.75,,3.8461538461538463,4.75,0.4,,4.0,,,,3.0,,,-1.0,,,,,,,,,,3.0,2.0,,,,,,-1.0,,,,,,,,,-1.0,-1.0,,,,,,,
South Tuxedo Park,1914,1805,1510,177,2,80,1,35,109,100,12,17,23,0,40,4,1,0,2,0,0,1,0,0,0,8,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934.0,925.0,819.0,30.0,4.0,31.0,0.0,41.0,9.0,9.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0492505353319057,0.9513513513513514,0.8437118437118437,4.9,-0.5,1.5806451612903225,,-0.14634146341463414,11.11111111111111,10.11111111111111,11.0,7.5,22.0,,19.0,,,-1.0,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckhead Village,2667,2457,1615,572,16,206,0,48,210,198,30,18,33,0,89,9,4,0,13,0,0,1,1,0,0,10,5,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1601.0,1559.0,1141.0,308.0,2.0,69.0,0.0,39.0,42.0,36.0,8.0,4.0,11.0,0.0,3.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6658338538413492,0.5760102629890955,0.4154250657318142,0.8571428571428571,7.0,1.9855072463768115,,0.23076923076923078,4.0,4.5,2.75,3.5,2.0,,28.666666666666668,3.5,0.3333333333333333,,1.6,,,,,,,0.6666666666666666,0.6666666666666666,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindridge/Martin Manor,4111,3781,1629,1153,59,295,3,642,330,308,49,22,33,0,135,7,9,2,28,1,0,14,3,2,3,19,2,0,0,4,2,0,6,0,3,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3914.0,3821.0,2006.0,792.0,17.0,224.0,1.0,781.0,93.0,80.0,16.0,9.0,19.0,1.0,13.0,6.0,4.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05033214103219213,-0.010468463752944255,-0.18793619142572282,0.45580808080808083,2.4705882352941178,0.3169642857142857,2.0,-0.17797695262483995,2.5483870967741935,2.85,2.0625,1.4444444444444444,0.7368421052631579,-1.0,9.384615384615385,0.16666666666666666,1.25,0.0,3.0,,,13.0,,1.0,2.0,0.46153846153846156,-0.6666666666666666,-1.0,,3.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atkins Park,449,421,349,35,2,23,0,12,28,25,4,1,6,0,10,1,0,0,1,0,0,2,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.0,400.0,374.0,10.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1225,0.0525,-0.06684491978609626,2.5,,0.9166666666666666,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piedmont Heights,2725,2508,1855,382,4,190,0,77,217,203,39,19,29,0,86,5,9,1,14,0,0,1,0,0,0,13,4,0,2,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2337.0,2266.0,1742.0,391.0,3.0,102.0,2.0,26.0,71.0,65.0,19.0,8.0,19.0,0.0,4.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16602481814291828,0.10679611650485436,0.06486796785304248,-0.023017902813299233,0.3333333333333333,0.8627450980392157,-1.0,1.9615384615384615,2.056338028169014,2.123076923076923,1.0526315789473684,1.375,0.5263157894736842,,20.5,0.0,2.0,,2.5,,,,-1.0,-1.0,,1.1666666666666667,-0.2,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitewater Creek,276,269,233,15,2,15,0,4,7,7,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.0,227.0,209.0,16.0,0.0,2.0,0.0,0.0,6.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18454935622317598,0.18502202643171806,0.11483253588516747,-0.0625,,6.5,,,0.16666666666666666,0.16666666666666666,-0.75,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Paces Ferry/Northside,1203,1111,1040,22,1,39,0,9,92,83,8,3,12,1,42,6,7,1,2,0,0,0,0,1,0,9,3,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171.0,1158.0,1117.0,13.0,0.0,20.0,0.0,8.0,13.0,13.0,1.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027327070879590094,-0.04058721934369603,-0.06893464637421665,0.6923076923076923,,0.95,,0.125,6.076923076923077,5.384615384615385,7.0,0.5,1.4,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleasant Hill,243,233,208,15,1,6,0,3,10,9,2,1,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0,201.0,186.0,11.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20297029702970298,0.15920398009950248,0.11827956989247312,0.36363636363636365,,,,-0.25,9.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
